lat,lon
50.636862,-2.421944
50.636665,-2.421646
50.636978,-2.421758
50.637320,-2.421130
50.636640,-2.419372
50.635936,-2.418854
50.635722,-2.418132
50.635723,-2.417167
50.636366,-2.416808
50.636429,-2.413734
50.635162,-2.409898
50.634708,-2.409218
50.635210,-2.408406
50.635580,-2.405633
50.636081,-2.405342
50.636163,-2.402857
50.637055,-2.398459
50.637395,-2.394011
50.638109,-2.393052
50.638234,-2.391026
50.637867,-2.389184
50.638224,-2.391013
50.638120,-2.393041
50.637391,-2.394091
50.637076,-2.398394
50.636148,-2.402936
50.636129,-2.405102
50.635568,-2.405721
50.635030,-2.408952
50.635088,-2.409953
50.636354,-2.413430
50.636501,-2.414755
50.636350,-2.416827
50.635703,-2.417239
50.635862,-2.418804
50.636636,-2.419330
50.637339,-2.421196
50.636794,-2.422218
