date,time,lat,lon,ele,sog,cog
2019-08-08,14:25:42.400,50.6368615,-2.4219437,13.41,0.72,126.28
2019-08-08,14:25:47.400,50.6368133,-2.4218493,13.71,0.86,157.59
2019-08-08,14:25:52.400,50.6367533,-2.4217498,12.19,0.64,133.71
2019-08-08,14:25:57.400,50.6366952,-2.4216701,11.88,1.74,149.22
2019-08-08,14:26:05.200,50.6366798,-2.4216615,12.19,0.78,336.41
2019-08-08,14:26:22.600,50.6368966,-2.4217152,13.41,0.84,22.75
2019-08-08,14:26:28.200,50.6369695,-2.4217622,8.53,0.64,13.55
2019-08-08,14:26:33.200,50.6370129,-2.4217222,6.70,0.99,25.54
2019-08-08,14:26:38.200,50.6370487,-2.4216686,3.65,1.07,37.09
2019-08-08,14:26:43.200,50.6370960,-2.4216073,5.48,1.35,68.23
2019-08-08,14:26:48.200,50.6371284,-2.4215257,5.18,1.64,56.16
2019-08-08,14:26:53.600,50.6371436,-2.4214516,3.96,0.61,43.15
2019-08-08,14:26:58.600,50.6371735,-2.4213944,4.87,0.61,35.65
2019-08-08,14:27:03.600,50.6372092,-2.4213574,4.26,0.60,13.71
2019-08-08,14:27:08.600,50.6372590,-2.4213268,4.26,0.82,21.98
2019-08-08,14:27:13.600,50.6373045,-2.4212854,4.26,0.73,38.02
2019-08-08,14:27:18.600,50.6373420,-2.4212320,3.65,1.35,94.47
2019-08-08,14:27:23.600,50.6373260,-2.4211555,3.96,0.79,126.16
2019-08-08,14:27:28.600,50.6373019,-2.4210885,3.96,0.58,122.35
2019-08-08,14:27:33.600,50.6372755,-2.4210160,3.35,0.76,123.44
2019-08-08,14:27:38.600,50.6372475,-2.4209437,2.74,1.62,107.95
2019-08-08,14:27:43.600,50.6372265,-2.4208654,2.43,0.80,134.04
2019-08-08,14:27:48.600,50.6371980,-2.4207918,2.13,0.70,128.47
2019-08-08,14:27:53.600,50.6371652,-2.4207189,1.82,1.02,138.41
2019-08-08,14:27:58.600,50.6371418,-2.4206490,1.52,0.81,141.90
2019-08-08,14:28:03.600,50.6371092,-2.4205882,0.60,0.86,140.06
2019-08-08,14:28:08.600,50.6370637,-2.4205455,0.00,1.40,145.84
2019-08-08,14:28:13.600,50.6370162,-2.4205070,0.00,1.29,134.90
2019-08-08,14:28:18.600,50.6369826,-2.4204378,0.00,1.13,125.49
2019-08-08,14:28:23.600,50.6369430,-2.4203711,0.00,1.18,132.00
2019-08-08,14:28:28.600,50.6369080,-2.4203079,0.00,0.96,128.69
2019-08-08,14:28:33.600,50.6368915,-2.4202392,0.00,0.81,127.10
2019-08-08,14:28:38.600,50.6368622,-2.4201600,-0.29,1.12,115.83
2019-08-08,14:28:43.600,50.6368330,-2.4200872,-0.29,0.59,109.41
2019-08-08,14:28:48.600,50.6368017,-2.4200185,-0.29,0.59,110.43
2019-08-08,14:28:53.600,50.6367757,-2.4199490,-0.90,0.52,114.57
2019-08-08,14:28:58.800,50.6367572,-2.4198705,0.00,1.70,110.20
2019-08-08,14:29:03.800,50.6367367,-2.4197917,0.00,0.77,93.23
2019-08-08,14:29:08.800,50.6367233,-2.4197144,0.60,0.79,97.31
2019-08-08,14:29:13.800,50.6367049,-2.4196379,1.21,0.79,108.81
2019-08-08,14:29:18.800,50.6366876,-2.4195631,1.82,0.89,101.50
2019-08-08,14:29:23.800,50.6366637,-2.4194803,2.74,1.30,102.85
2019-08-08,14:29:29.200,50.6366496,-2.4193942,3.35,1.19,149.93
2019-08-08,14:29:34.200,50.6366161,-2.4193393,3.35,1.20,139.90
2019-08-08,14:29:39.200,50.6365722,-2.4192927,4.26,1.18,155.63
