date,time,lat,lon,ele,sog,cog
2020-10-17,10:01:12.400,50.6214702,-2.1685091,11.27,1.20,162.88
2020-10-17,10:01:17.400,50.6214051,-2.1684982,11.27,1.21,181.02
2020-10-17,10:01:22.400,50.6212580,-2.1684615,28.04,1.29,170.26
2020-10-17,10:01:27.400,50.6212058,-2.1684605,28.34,1.26,169.03
2020-10-17,10:01:32.400,50.6211616,-2.1684706,27.73,1.12,186.94
2020-10-17,10:01:37.400,50.6211166,-2.1684552,26.82,1.30,191.20
2020-10-17,10:01:42.400,50.6210641,-2.1684416,25.60,1.22,176.02
2020-10-17,10:01:47.400,50.6210042,-2.1684193,25.29,1.62,174.03
2020-10-17,10:01:52.400,50.6209496,-2.1684153,24.38,1.51,171.51
2020-10-17,10:01:57.400,50.6208931,-2.1684117,23.46,1.10,146.56
2020-10-17,10:02:02.400,50.6208248,-2.1684291,22.55,1.58,188.08
2020-10-17,10:02:07.400,50.6207596,-2.1684428,22.25,1.23,178.28
2020-10-17,10:02:12.400,50.6207007,-2.1684436,21.94,1.10,169.84
2020-10-17,10:02:17.400,50.6206407,-2.1684340,21.33,0.99,208.01
2020-10-17,10:02:22.400,50.6205983,-2.1683835,21.33,1.30,120.58
2020-10-17,10:02:27.400,50.6205951,-2.1682911,21.03,1.08,82.39
2020-10-17,10:02:32.400,50.6206052,-2.1682107,20.72,0.84,82.17
2020-10-17,10:02:37.400,50.6206279,-2.1681499,21.03,0.87,59.45
2020-10-17,10:02:42.400,50.6206538,-2.1680720,21.03,0.76,61.03
2020-10-17,10:02:51.200,50.6206725,-2.1680327,21.64,0.36,67.20
2020-10-17,10:02:56.200,50.6206793,-2.1679812,21.94,0.62,78.28
2020-10-17,10:03:01.200,50.6206901,-2.1678958,22.25,0.98,73.89
2020-10-17,10:03:06.200,50.6206912,-2.1678490,22.55,0.44,95.16
2020-10-17,10:03:33.600,50.6206937,-2.1678507,26.21,0.30,218.84
2020-10-17,10:05:23.200,50.6206299,-2.1678178,28.34,1.29,244.96
2020-10-17,10:05:28.200,50.6206078,-2.1678705,28.04,0.54,280.86
2020-10-17,10:05:33.800,50.6205800,-2.1679055,28.34,0.65,249.48
2020-10-17,10:05:38.800,50.6205594,-2.1679432,28.34,0.61,228.26
2020-10-17,10:05:44.200,50.6205458,-2.1679944,28.34,0.57,265.77
2020-10-17,10:05:49.200,50.6205411,-2.1680451,28.34,0.51,295.49
2020-10-17,10:05:54.200,50.6205386,-2.1681152,28.04,0.90,283.12
2020-10-17,10:05:59.200,50.6205271,-2.1682065,27.73,0.61,253.96
2020-10-17,10:06:35.600,50.6205209,-2.1683279,29.87,0.93,358.00
2020-10-17,10:06:49.600,50.6205316,-2.1683460,31.08,0.39,168.75
2020-10-17,10:06:54.600,50.6204860,-2.1683652,31.39,1.39,195.74
2020-10-17,10:06:59.600,50.6204452,-2.1684088,31.69,1.21,232.48
2020-10-17,10:07:04.600,50.6204117,-2.1684776,31.69,1.34,249.27
2020-10-17,10:07:09.600,50.6204039,-2.1685373,31.39,1.43,263.11
2020-10-17,10:07:14.600,50.6204103,-2.1686272,31.08,1.34,289.51
2020-10-17,10:07:19.600,50.6204166,-2.1687205,30.48,1.27,261.55
2020-10-17,10:07:24.600,50.6204167,-2.1688253,29.56,1.39,266.35
2020-10-17,10:07:29.600,50.6204186,-2.1689248,28.95,1.48,279.12
2020-10-17,10:07:34.600,50.6204171,-2.1690179,28.34,1.04,286.33
2020-10-17,10:07:39.600,50.6204158,-2.1691069,27.43,1.68,270.12
2020-10-17,10:07:44.600,50.6204175,-2.1692046,26.51,1.50,265.82
2020-10-17,10:07:49.600,50.6204163,-2.1693052,25.60,1.47,273.55
2020-10-17,10:07:54.600,50.6204097,-2.1694110,25.60,0.93,225.76
2020-10-17,10:07:59.800,50.6204009,-2.1695148,25.60,1.14,253.23
2020-10-17,10:08:04.800,50.6203958,-2.1696519,26.21,2.35,281.10
2020-10-17,10:08:09.800,50.6203828,-2.1697653,26.82,1.69,250.54
2020-10-17,10:08:14.800,50.6203769,-2.1698888,27.43,2.08,267.79
2020-10-17,10:08:19.800,50.6203648,-2.1699940,27.43,1.10,251.05
2020-10-17,10:08:24.800,50.6203550,-2.1700852,28.04,2.02,266.73
2020-10-17,10:08:29.800,50.6203395,-2.1701979,28.34,1.33,259.55
2020-10-17,10:08:34.800,50.6203357,-2.1703200,28.95,2.36,272.18
2020-10-17,10:08:39.800,50.6203317,-2.1704036,30.17,1.12,272.39
