date,time,lat,lon,ele
2022-03-24,11:26:52.000,50.5986033,-2.0378666,126
2022-03-24,11:26:57.000,50.5986250,-2.0378368,126
2022-03-24,11:27:34.000,50.5985942,-2.0377779,126
2022-03-24,11:27:39.000,50.5986012,-2.0376928,126
2022-03-24,11:27:44.000,50.5986494,-2.0376498,126
2022-03-24,11:27:49.000,50.5986943,-2.0376373,126
2022-03-24,11:29:09.000,50.5987325,-2.0376184,126
2022-03-24,11:29:14.000,50.5987484,-2.0376408,126
2022-03-24,11:29:19.000,50.5987531,-2.0376287,126
2022-03-24,11:29:56.000,50.5987447,-2.0375774,126
2022-03-24,11:30:01.000,50.5987048,-2.0375254,126
2022-03-24,11:30:06.000,50.5986433,-2.0375145,126
2022-03-24,11:30:11.000,50.5985797,-2.0375157,125
2022-03-24,11:30:16.000,50.5985237,-2.0375009,125
2022-03-24,11:30:21.000,50.5984589,-2.0374687,124
2022-03-24,11:30:26.000,50.5984099,-2.0374504,124
2022-03-24,11:30:31.000,50.5983603,-2.0374409,123
2022-03-24,11:30:36.000,50.5983064,-2.0374340,123
2022-03-24,11:30:41.000,50.5982510,-2.0374306,122
2022-03-24,11:30:46.000,50.5981885,-2.0374304,122
2022-03-24,11:30:51.000,50.5981239,-2.0374231,121
2022-03-24,11:30:56.000,50.5980645,-2.0374235,121
2022-03-24,11:31:01.000,50.5980080,-2.0374254,120
2022-03-24,11:31:06.000,50.5979571,-2.0374375,119
2022-03-24,11:31:11.000,50.5979017,-2.0374407,119
2022-03-24,11:31:22.000,50.5978465,-2.0374263,118
2022-03-24,11:31:27.000,50.5977870,-2.0374201,117
2022-03-24,11:31:32.000,50.5977194,-2.0374265,116
2022-03-24,11:31:37.000,50.5976616,-2.0374420,115
2022-03-24,11:31:42.000,50.5975885,-2.0374528,114
2022-03-24,11:31:47.000,50.5975326,-2.0374698,113
2022-03-24,11:31:52.000,50.5974651,-2.0374909,112
2022-03-24,11:31:57.000,50.5974079,-2.0375304,112
2022-03-24,11:32:02.000,50.5973537,-2.0375718,111
2022-03-24,11:32:07.000,50.5972886,-2.0375961,111
2022-03-24,11:32:12.000,50.5972470,-2.0376256,110
2022-03-24,11:32:17.000,50.5972298,-2.0376460,110
2022-03-24,11:32:22.000,50.5971849,-2.0376755,109
2022-03-24,11:32:27.000,50.5971326,-2.0377267,109
2022-03-24,11:32:32.000,50.5970680,-2.0377788,108
2022-03-24,11:32:37.000,50.5970091,-2.0378185,108
2022-03-24,11:32:42.000,50.5969432,-2.0378715,107
2022-03-24,11:32:47.000,50.5968948,-2.0379375,107
2022-03-24,11:32:52.000,50.5968487,-2.0379682,106
2022-03-24,11:32:57.000,50.5967981,-2.0380070,106
2022-03-24,11:33:02.000,50.5967691,-2.0380578,105
2022-03-24,11:33:07.000,50.5967397,-2.0381015,104
2022-03-24,11:33:12.000,50.5966814,-2.0381332,103
2022-03-24,11:33:17.000,50.5966189,-2.0381654,102
2022-03-24,11:33:22.000,50.5965610,-2.0381947,101
2022-03-24,11:33:27.000,50.5965096,-2.0382503,100
2022-03-24,11:33:32.000,50.5964771,-2.0383165,100
2022-03-24,11:33:37.000,50.5964380,-2.0383954,99
2022-03-24,11:33:42.000,50.5964123,-2.0384826,99
2022-03-24,11:33:47.000,50.5963771,-2.0385674,99
2022-03-24,11:33:52.000,50.5963374,-2.0386352,98
2022-03-24,11:33:57.000,50.5962914,-2.0386960,98
2022-03-24,11:34:02.000,50.5962260,-2.0387254,98
2022-03-24,11:34:07.000,50.5961514,-2.0387122,98
2022-03-24,11:34:12.000,50.5960911,-2.0386672,97
2022-03-24,11:34:17.000,50.5960392,-2.0386296,97
2022-03-24,11:34:22.000,50.5959894,-2.0385776,96
2022-03-24,11:34:27.000,50.5959525,-2.0385313,96
2022-03-24,11:34:32.000,50.5959039,-2.0384979,95
2022-03-24,11:34:37.000,50.5958491,-2.0384544,95
2022-03-24,11:34:42.000,50.5957942,-2.0384171,94
2022-03-24,11:34:47.000,50.5957508,-2.0383826,94
