date,time,lat,lon,ele,sog,cog
2020-09-27,13:39:34.400,50.6361534,-2.4190538,-5.48,0.31,139.63
2020-09-27,13:39:39.600,50.6361260,-2.4190193,-5.48,1.22,154.19
2020-09-27,13:39:44.600,50.6360755,-2.4189769,-4.87,1.43,148.21
2020-09-27,13:39:49.800,50.6360264,-2.4189411,-4.26,0.57,178.93
2020-09-27,13:39:54.800,50.6359839,-2.4188909,-3.65,0.98,137.94
2020-09-27,13:39:59.800,50.6359496,-2.4188391,-3.04,0.94,130.15
2020-09-27,13:40:04.800,50.6359059,-2.4187743,-2.43,1.50,116.28
2020-09-27,13:40:09.800,50.6358703,-2.4187025,-0.91,1.10,126.69
2020-09-27,13:40:14.800,50.6358519,-2.4186316,0.00,1.10,108.32
2020-09-27,13:40:19.800,50.6358391,-2.4185625,0.91,0.66,110.83
2020-09-27,13:40:24.800,50.6358340,-2.4184745,1.52,1.22,97.78
2020-09-27,13:40:29.800,50.6358293,-2.4183981,2.13,1.15,81.93
2020-09-27,13:40:34.800,50.6358182,-2.4183065,2.74,1.21,100.78
2020-09-27,13:40:39.800,50.6358052,-2.4182160,3.65,1.66,104.23
2020-09-27,13:40:44.800,50.6357982,-2.4181193,3.96,1.00,104.68
2020-09-27,13:40:49.800,50.6357982,-2.4180363,4.57,0.98,90.19
2020-09-27,13:40:54.800,50.6357943,-2.4179628,4.87,0.88,114.10
2020-09-27,13:40:59.800,50.6357829,-2.4178866,5.18,0.79,94.87
2020-09-27,13:41:04.800,50.6357789,-2.4178015,5.79,1.28,100.24
2020-09-27,13:41:09.800,50.6357741,-2.4177101,6.40,1.40,95.52
2020-09-27,13:41:14.800,50.6357675,-2.4176224,7.31,1.40,97.70
2020-09-27,13:41:19.800,50.6357554,-2.4175371,8.53,1.31,108.35
2020-09-27,13:41:24.800,50.6357396,-2.4174519,9.14,1.25,101.09
2020-09-27,13:41:29.800,50.6357308,-2.4173734,9.75,0.80,96.59
2020-09-27,13:41:34.800,50.6357187,-2.4172954,10.05,1.55,93.30
2020-09-27,13:41:39.800,50.6357119,-2.4172171,9.14,1.39,101.59
2020-09-27,13:41:44.800,50.6357443,-2.4171617,8.83,1.24,35.74
2020-09-27,13:41:49.800,50.6357906,-2.4171289,9.75,0.86,12.72
2020-09-27,13:41:54.800,50.6358504,-2.4171113,9.75,1.58,24.49
2020-09-27,13:41:59.800,50.6359027,-2.4170744,11.27,1.18,36.33
2020-09-27,13:42:04.800,50.6359527,-2.4170459,12.49,1.02,24.57
2020-09-27,13:42:09.800,50.6359974,-2.4170196,12.80,1.37,12.74
2020-09-27,13:42:14.800,50.6360532,-2.4170023,12.80,1.48,14.16
2020-09-27,13:42:19.800,50.6361157,-2.4169843,12.49,1.12,14.47
2020-09-27,13:42:24.800,50.6361766,-2.4169704,11.88,1.38,359.52
