date,time,lat,lon,ele,sog
2023-08-22,10:39:11.000,50.7045462,-3.0677374,5,0.000
2023-08-22,10:39:16.000,50.7045207,-3.0677892,5,0.000
2023-08-22,10:39:21.000,50.7044986,-3.0678287,5,0.000
2023-08-22,10:39:45.000,50.7044764,-3.0678561,5,0.000
2023-08-22,10:39:50.000,50.7044557,-3.0677747,5,0.506
2023-08-22,10:39:55.000,50.7044171,-3.0677263,5,0.950
2023-08-22,10:40:00.000,50.7043725,-3.0676909,5,0.953
2023-08-22,10:40:05.000,50.7043505,-3.0676225,5,0.967
2023-08-22,10:40:10.000,50.7043521,-3.0675443,5,1.011
2023-08-22,10:40:15.000,50.7043681,-3.0674596,5,1.069
2023-08-22,10:40:20.000,50.7043824,-3.0673739,5,1.092
2023-08-22,10:40:25.000,50.7043871,-3.0672881,5,1.100
2023-08-22,10:40:36.000,50.7043666,-3.0672011,5,0.000
2023-08-22,10:40:41.000,50.7043378,-3.0671503,5,1.053
2023-08-22,10:40:46.000,50.7043048,-3.0671167,4,1.083
2023-08-22,10:40:51.000,50.7042516,-3.0671410,4,1.192
2023-08-22,10:40:56.000,50.7041925,-3.0671465,5,1.208
2023-08-22,10:41:01.000,50.7041304,-3.0671540,5,1.217
2023-08-22,10:41:06.000,50.7040667,-3.0671628,6,1.231
2023-08-22,10:41:11.000,50.7040038,-3.0671514,6,1.236
2023-08-22,10:41:16.000,50.7039578,-3.0671399,6,1.236
2023-08-22,10:41:21.000,50.7039089,-3.0671391,7,1.206
2023-08-22,10:41:26.000,50.7038451,-3.0671369,7,1.150
2023-08-22,10:41:31.000,50.7037773,-3.0671369,7,1.125
2023-08-22,10:41:36.000,50.7037217,-3.0671120,7,1.161
2023-08-22,10:41:41.000,50.7036810,-3.0670568,7,1.197
2023-08-22,10:41:46.000,50.7036238,-3.0670141,7,1.211
2023-08-22,10:41:56.000,50.7035879,-3.0669786,7,0.000
2023-08-22,10:42:01.000,50.7035758,-3.0669191,7,1.053
2023-08-22,10:42:06.000,50.7035668,-3.0668533,7,1.069
2023-08-22,10:42:46.000,50.7035158,-3.0668583,7,0.000
2023-08-22,10:43:02.000,50.7035174,-3.0668631,7,0.000
2023-08-22,10:43:07.000,50.7035358,-3.0668188,7,0.000
2023-08-22,10:43:12.000,50.7035511,-3.0667796,7,0.000
2023-08-22,10:43:17.000,50.7035549,-3.0667511,7,0.000
2023-08-22,10:43:22.000,50.7035518,-3.0666773,7,0.558
2023-08-22,10:43:27.000,50.7035521,-3.0665873,7,1.103
2023-08-22,10:43:32.000,50.7035454,-3.0664957,7,1.108
2023-08-22,10:43:37.000,50.7035363,-3.0664023,7,1.144
2023-08-22,10:43:42.000,50.7035318,-3.0663083,7,1.181
2023-08-22,10:43:47.000,50.7035344,-3.0662124,7,1.208
2023-08-22,10:43:52.000,50.7035444,-3.0661149,7,1.219
2023-08-22,10:43:57.000,50.7035446,-3.0660154,7,1.225
2023-08-22,10:44:02.000,50.7035432,-3.0659214,7,1.231
2023-08-22,10:44:07.000,50.7035385,-3.0658338,7,1.236
2023-08-22,10:44:12.000,50.7035330,-3.0657415,7,1.239
2023-08-22,10:44:17.000,50.7035295,-3.0656432,7,1.242
2023-08-22,10:44:22.000,50.7035289,-3.0655496,7,1.256
2023-08-22,10:44:27.000,50.7035284,-3.0654561,7,1.269
2023-08-22,10:44:32.000,50.7035283,-3.0653674,7,1.278
2023-08-22,10:45:46.000,50.7035287,-3.0652696,7,0.711
2023-08-22,10:45:51.000,50.7035240,-3.0651806,7,0.961
2023-08-22,10:45:56.000,50.7035224,-3.0650847,7,1.042
2023-08-22,10:46:01.000,50.7035223,-3.0649944,7,1.042
2023-08-22,10:46:06.000,50.7035207,-3.0649079,7,1.069
2023-08-22,10:46:11.000,50.7035205,-3.0648198,7,1.122
2023-08-22,10:46:16.000,50.7035215,-3.0647276,7,1.136
2023-08-22,10:46:21.000,50.7035192,-3.0646356,7,1.142
2023-08-22,10:46:26.000,50.7035187,-3.0645402,8,1.169
2023-08-22,10:46:31.000,50.7035144,-3.0644490,7,1.214
2023-08-22,10:46:36.000,50.7035124,-3.0643585,7,1.244
2023-08-22,10:46:41.000,50.7035110,-3.0642661,7,1.256
2023-08-22,10:46:46.000,50.7035155,-3.0641682,7,1.253
2023-08-22,10:46:51.000,50.7035163,-3.0640704,7,1.258
2023-08-22,10:46:56.000,50.7035123,-3.0639718,7,1.269
2023-08-22,10:47:01.000,50.7034962,-3.0638735,8,1.278
2023-08-22,10:47:06.000,50.7034712,-3.0637791,8,1.286
2023-08-22,10:47:11.000,50.7034677,-3.0636864,8,1.306
2023-08-22,10:47:16.000,50.7034855,-3.0636035,8,1.317
2023-08-22,10:47:21.000,50.7034899,-3.0635062,8,1.314
2023-08-22,10:47:26.000,50.7034860,-3.0634053,8,1.311
2023-08-22,10:47:31.000,50.7034803,-3.0633103,8,1.314
2023-08-22,10:47:36.000,50.7034798,-3.0632152,8,1.317
2023-08-22,10:47:41.000,50.7034786,-3.0631209,8,1.314
2023-08-22,10:47:46.000,50.7034758,-3.0630250,8,1.308
2023-08-22,10:47:51.000,50.7034748,-3.0629251,8,1.306
2023-08-22,10:47:56.000,50.7034714,-3.0628250,8,1.308
2023-08-22,10:48:01.000,50.7034692,-3.0627306,8,1.317
2023-08-22,10:48:06.000,50.7034662,-3.0626426,8,1.336
2023-08-22,10:48:11.000,50.7034520,-3.0625524,8,1.347
2023-08-22,10:48:16.000,50.7034461,-3.0624568,8,1.342
2023-08-22,10:48:21.000,50.7034463,-3.0623585,8,1.353
2023-08-22,10:48:26.000,50.7034438,-3.0622568,8,1.372
2023-08-22,10:48:31.000,50.7034388,-3.0621598,8,1.383
2023-08-22,10:48:36.000,50.7034376,-3.0620606,8,1.381
2023-08-22,10:48:41.000,50.7034390,-3.0619620,8,1.369
2023-08-22,10:48:46.000,50.7034364,-3.0618632,8,1.358
2023-08-22,10:48:51.000,50.7034334,-3.0617637,8,1.356
2023-08-22,10:48:56.000,50.7034257,-3.0616636,8,1.356
2023-08-22,10:49:01.000,50.7034224,-3.0615646,8,1.353
2023-08-22,10:49:06.000,50.7034188,-3.0614663,8,1.333
2023-08-22,10:49:11.000,50.7034144,-3.0613679,8,1.319
2023-08-22,10:49:16.000,50.7034100,-3.0612737,8,1.328
2023-08-22,10:49:21.000,50.7034028,-3.0611766,8,1.331
2023-08-22,10:49:26.000,50.7033974,-3.0610782,8,1.333
2023-08-22,10:49:31.000,50.7034012,-3.0609977,8,1.336
2023-08-22,10:49:45.000,50.7034025,-3.0609278,8,0.000
2023-08-22,10:49:50.000,50.7034003,-3.0609095,8,0.000
2023-08-22,10:49:55.000,50.7034015,-3.0609358,8,0.953
2023-08-22,10:50:00.000,50.7034235,-3.0609998,8,1.008
2023-08-22,10:50:05.000,50.7034771,-3.0610088,8,1.033
2023-08-22,10:50:10.000,50.7035258,-3.0609933,8,1.056
2023-08-22,10:50:15.000,50.7035490,-3.0609200,8,1.075
2023-08-22,10:50:20.000,50.7036012,-3.0608980,8,1.117
2023-08-22,10:50:25.000,50.7036611,-3.0609164,7,1.136
2023-08-22,10:50:30.000,50.7037159,-3.0609385,7,1.158
2023-08-22,10:50:35.000,50.7037701,-3.0609586,7,1.222
2023-08-22,10:50:40.000,50.7038315,-3.0609670,7,1.239
2023-08-22,10:50:45.000,50.7038941,-3.0609742,7,1.272
2023-08-22,10:50:50.000,50.7039514,-3.0609808,6,1.275
2023-08-22,10:50:55.000,50.7040142,-3.0609909,6,1.278
2023-08-22,10:51:00.000,50.7040725,-3.0610063,6,1.275
2023-08-22,10:51:05.000,50.7041311,-3.0610233,6,1.269
2023-08-22,10:51:10.000,50.7041909,-3.0610306,6,1.264
2023-08-22,10:51:15.000,50.7042464,-3.0610374,6,1.239
2023-08-22,10:51:20.000,50.7042953,-3.0610425,6,0.000
2023-08-22,10:51:35.000,50.7043464,-3.0610290,6,0.000
2023-08-22,10:51:40.000,50.7043967,-3.0609836,6,1.214
2023-08-22,10:51:45.000,50.7044377,-3.0608923,6,1.197
2023-08-22,10:51:50.000,50.7044537,-3.0607929,6,1.175
2023-08-22,10:51:55.000,50.7044640,-3.0607032,6,1.175
2023-08-22,10:52:00.000,50.7044744,-3.0606111,6,1.175
2023-08-22,10:52:05.000,50.7044847,-3.0605137,6,1.192
2023-08-22,10:52:10.000,50.7044941,-3.0604163,6,1.197
2023-08-22,10:52:15.000,50.7044990,-3.0603215,6,1.203
2023-08-22,10:52:20.000,50.7045082,-3.0602313,6,1.225
2023-08-22,10:52:41.000,50.7045186,-3.0601412,7,0.000
2023-08-22,10:52:46.000,50.7045296,-3.0600810,7,0.722
2023-08-22,10:52:51.000,50.7045473,-3.0600083,7,1.617
2023-08-22,10:52:56.000,50.7045611,-3.0599500,7,1.511
2023-08-22,10:53:01.000,50.7045702,-3.0598959,8,1.247
2023-08-22,10:53:06.000,50.7045978,-3.0598236,8,1.103
2023-08-22,10:53:11.000,50.7046122,-3.0597407,8,0.992
2023-08-22,10:53:16.000,50.7046129,-3.0596580,8,0.994
2023-08-22,10:53:21.000,50.7046246,-3.0595636,8,1.011
2023-08-22,10:53:26.000,50.7046463,-3.0594673,8,1.078
2023-08-22,10:53:31.000,50.7046612,-3.0593701,8,1.156
2023-08-22,10:53:36.000,50.7046666,-3.0592813,8,1.192
2023-08-22,10:53:41.000,50.7046745,-3.0591997,8,1.167
2023-08-22,10:53:46.000,50.7046888,-3.0591258,8,1.122
2023-08-22,10:53:51.000,50.7047078,-3.0590463,8,1.086
2023-08-22,10:53:56.000,50.7047289,-3.0589639,8,1.072
2023-08-22,10:54:01.000,50.7047446,-3.0588824,8,1.092
2023-08-22,10:54:06.000,50.7047720,-3.0588095,8,1.122
2023-08-22,10:54:11.000,50.7048142,-3.0587658,7,1.139
2023-08-22,10:54:16.000,50.7048536,-3.0587524,7,1.144
2023-08-22,10:54:21.000,50.7049055,-3.0587488,7,1.144
2023-08-22,10:54:26.000,50.7049613,-3.0587447,7,1.142
2023-08-22,10:54:31.000,50.7050112,-3.0587405,7,1.128
2023-08-22,10:54:36.000,50.7050652,-3.0587565,7,1.114
2023-08-22,10:54:41.000,50.7051250,-3.0587767,7,1.119
2023-08-22,10:54:46.000,50.7051900,-3.0587463,7,1.164
2023-08-22,10:54:51.000,50.7052508,-3.0586980,7,1.233
2023-08-22,10:54:56.000,50.7053098,-3.0586558,7,1.283
2023-08-22,10:55:01.000,50.7053710,-3.0586166,7,1.308
