date,time,lat,lon,ele,sog,cog
2017-09-12,09:57:00.600,50.5728413,-4.9177928,44.80,0.75,30.66
2017-09-12,09:57:08.600,50.5729052,-4.9177553,47.54,0.73,6.63
2017-09-12,09:57:20.200,50.5730070,-4.9177212,45.11,1.69,62.38
2017-09-12,09:57:25.200,50.5730146,-4.9176401,44.50,1.20,92.98
2017-09-12,09:57:30.200,50.5730001,-4.9175834,42.06,1.22,119.37
2017-09-12,09:57:35.200,50.5729863,-4.9175238,41.75,0.51,91.52
2017-09-12,09:57:40.200,50.5729915,-4.9174941,39.92,0.50,64.38
2017-09-12,09:57:46.800,50.5730204,-4.9174641,39.62,1.32,62.20
2017-09-12,09:57:51.800,50.5730405,-4.9173791,39.31,1.10,61.53
2017-09-12,09:57:56.800,50.5730820,-4.9173313,39.31,1.02,25.90
2017-09-12,09:58:01.800,50.5731233,-4.9172811,40.23,1.37,48.74
2017-09-12,09:58:06.800,50.5731657,-4.9172338,39.31,1.10,34.81
2017-09-12,09:58:11.800,50.5732127,-4.9171903,39.01,1.23,31.79
2017-09-12,09:58:17.200,50.5732631,-4.9171341,38.70,0.69,67.33
2017-09-12,09:58:22.200,50.5733136,-4.9170849,38.70,1.12,56.10
2017-09-12,09:58:27.200,50.5733404,-4.9170072,38.10,0.92,63.38
2017-09-12,09:58:32.200,50.5733282,-4.9169268,36.88,1.49,110.03
2017-09-12,09:58:37.200,50.5733000,-4.9168532,35.66,1.08,113.04
2017-09-12,09:58:42.200,50.5732714,-4.9167776,34.44,1.12,114.46
2017-09-12,09:58:47.200,50.5732412,-4.9167025,34.13,1.38,128.24
2017-09-12,09:58:52.200,50.5732149,-4.9166265,32.91,1.63,120.16
2017-09-12,09:58:57.200,50.5731865,-4.9165381,31.69,1.40,121.19
2017-09-12,09:59:02.200,50.5731588,-4.9164570,30.17,1.17,117.18
2017-09-12,09:59:07.200,50.5731339,-4.9163687,30.17,1.55,119.11
2017-09-12,09:59:12.200,50.5731047,-4.9162878,30.17,1.38,114.60
