date,time,lat,lon,ele,sog
2024-06-03,10:11:01.000,50.8277525,-4.5469758,-11,0.000
2024-06-03,10:11:06.000,50.8277892,-4.5469466,-11,0.000
2024-06-03,10:11:11.000,50.8278192,-4.5469090,-11,0.000
2024-06-03,10:11:16.000,50.8278401,-4.5469183,-11,0.000
2024-06-03,10:11:21.000,50.8278835,-4.5469953,-10,0.797
2024-06-03,10:11:26.000,50.8279301,-4.5470741,-10,1.392
2024-06-03,10:11:31.000,50.8279741,-4.5471326,-10,1.261
2024-06-03,10:11:36.000,50.8280200,-4.5471866,-10,1.269
2024-06-03,10:11:41.000,50.8280665,-4.5472390,-10,1.225
2024-06-03,10:11:46.000,50.8281191,-4.5472888,-10,1.258
2024-06-03,10:11:51.000,50.8281850,-4.5473064,-10,1.267
2024-06-03,10:11:56.000,50.8282507,-4.5473090,-10,1.272
2024-06-03,10:12:01.000,50.8283150,-4.5472914,-10,1.294
2024-06-03,10:12:06.000,50.8283758,-4.5472658,-11,1.303
2024-06-03,10:12:11.000,50.8284352,-4.5472315,-11,1.319
2024-06-03,10:12:16.000,50.8284858,-4.5472446,-11,1.319
2024-06-03,10:12:21.000,50.8285273,-4.5473328,-11,1.311
2024-06-03,10:12:35.000,50.8285363,-4.5473673,-10,0.531
2024-06-03,10:12:46.000,50.8285373,-4.5474499,-10,0.000
2024-06-03,10:12:51.000,50.8285220,-4.5475048,-10,0.525
2024-06-03,10:12:56.000,50.8285011,-4.5475980,-10,1.122
2024-06-03,10:13:01.000,50.8284845,-4.5476933,-10,1.172
2024-06-03,10:13:06.000,50.8284600,-4.5477739,-10,1.206
2024-06-03,10:13:11.000,50.8284452,-4.5478026,-10,1.128
2024-06-03,10:13:16.000,50.8284587,-4.5477398,-10,1.017
2024-06-03,10:13:21.000,50.8284847,-4.5477004,-10,0.964
2024-06-03,10:14:08.000,50.8285200,-4.5477089,-10,0.000
2024-06-03,10:14:13.000,50.8284856,-4.5477087,-10,0.000
2024-06-03,10:14:18.000,50.8284514,-4.5477766,-10,1.383
2024-06-03,10:14:23.000,50.8284311,-4.5478575,-10,1.325
2024-06-03,10:14:28.000,50.8283949,-4.5479166,-10,1.217
2024-06-03,10:14:33.000,50.8283514,-4.5479643,-10,1.158
2024-06-03,10:14:38.000,50.8283196,-4.5479977,-9,1.086
2024-06-03,10:14:43.000,50.8283015,-4.5480439,-9,1.017
2024-06-03,10:14:48.000,50.8282915,-4.5481256,-9,1.006
2024-06-03,10:14:53.000,50.8282651,-4.5482134,-9,1.011
2024-06-03,10:14:58.000,50.8282484,-4.5482946,-9,1.078
2024-06-03,10:15:03.000,50.8282498,-4.5483807,-8,1.094
2024-06-03,10:15:08.000,50.8282528,-4.5484526,-8,1.083
2024-06-03,10:15:13.000,50.8282408,-4.5485353,-8,1.094
2024-06-03,10:15:18.000,50.8282300,-4.5486318,-8,1.122
2024-06-03,10:15:23.000,50.8282279,-4.5487302,-8,1.164
2024-06-03,10:15:28.000,50.8282290,-4.5488280,-8,1.194
2024-06-03,10:15:33.000,50.8282420,-4.5489153,-8,1.197
2024-06-03,10:15:38.000,50.8282689,-4.5490012,-8,1.211
2024-06-03,10:15:43.000,50.8283090,-4.5490860,-8,1.244
2024-06-03,10:15:48.000,50.8283552,-4.5491686,-7,1.281
2024-06-03,10:15:53.000,50.8283993,-4.5492474,-7,1.322
2024-06-03,10:15:58.000,50.8284409,-4.5493207,-8,1.325
