date,time,lat,lon,ele,sog
2026-09-13,13:33:20.000,50.4664799,-5.0317334,6.4,0.000
2026-09-13,13:33:25.000,50.4664783,-5.0317270,6.8,0.364
2026-09-13,13:33:30.000,50.4665115,-5.0317202,7.6,0.709
2026-09-13,13:33:35.000,50.4665538,-5.0317188,6.8,0.000
2026-09-13,13:33:40.000,50.4666085,-5.0317172,6.4,1.185
2026-09-13,13:33:45.000,50.4666733,-5.0317129,7.4,1.428
2026-09-13,13:33:50.000,50.4667304,-5.0317167,7.2,1.260
2026-09-13,13:33:55.000,50.4667852,-5.0317160,7.0,1.213
2026-09-13,13:34:00.000,50.4668368,-5.0317084,7.0,1.176
2026-09-13,13:34:05.000,50.4668830,-5.0317110,7.2,1.073
2026-09-13,13:34:10.000,50.4669402,-5.0317084,7.2,1.241
2026-09-13,13:34:15.000,50.4669940,-5.0317086,7.0,1.334
2026-09-13,13:34:20.000,50.4670448,-5.0317108,6.8,1.269
2026-09-13,13:34:25.000,50.4670954,-5.0317156,6.6,1.222
2026-09-13,13:34:30.000,50.4671543,-5.0317212,6.6,1.269
2026-09-13,13:34:35.000,50.4672030,-5.0317398,6.2,1.232
2026-09-13,13:34:40.000,50.4672512,-5.0317643,6.0,1.204
2026-09-13,13:34:45.000,50.4672947,-5.0317901,5.8,1.166
2026-09-13,13:34:50.000,50.4673382,-5.0318202,5.6,1.120
2026-09-13,13:34:55.000,50.4673797,-5.0318431,5.4,1.120
2026-09-13,13:35:00.000,50.4674319,-5.0318593,5.6,1.101
2026-09-13,13:35:05.000,50.4674871,-5.0318800,5.2,1.129
2026-09-13,13:35:10.000,50.4675299,-5.0319029,5.2,1.129
2026-09-13,13:35:15.000,50.4675812,-5.0319363,5.0,1.120
2026-09-13,13:35:20.000,50.4676314,-5.0319721,5.4,1.120
2026-09-13,13:35:25.000,50.4676850,-5.0320036,5.0,1.120
2026-09-13,13:35:30.000,50.4677360,-5.0320203,5.0,1.166
2026-09-13,13:35:35.000,50.4677811,-5.0320546,4.8,1.185
2026-09-13,13:35:40.000,50.4678167,-5.0320987,4.8,1.157
