date,time,lat,lon,ele,sog,cog
2019-09-10,14:57:45.000,50.2777269,-3.8764019,4.87,0.20,64.0
2019-09-10,14:58:03.000,50.2776667,-3.8763925,9.14,0.56,175.8
2019-09-10,14:58:20.000,50.2776764,-3.8763969,8.53,0.25,240.8
2019-09-10,14:58:30.000,50.2776975,-3.8763626,7.31,0.22,20.4
2019-09-10,14:58:35.000,50.2777089,-3.8763056,7.01,0.72,67.8
2019-09-10,14:58:40.000,50.2777318,-3.8762401,6.40,0.77,63.0
2019-09-10,14:58:45.000,50.2777926,-3.8762024,6.40,0.90,23.0
2019-09-10,14:58:50.000,50.2778144,-3.8761278,6.09,1.12,55.8
2019-09-10,14:58:55.000,50.2778423,-3.8760531,5.18,1.06,45.6
2019-09-10,14:59:00.000,50.2778800,-3.8759805,6.09,1.12,64.2
2019-09-10,14:59:05.000,50.2779125,-3.8758990,6.40,1.75,57.8
2019-09-10,14:59:10.000,50.2779471,-3.8758140,7.31,1.71,53.4
2019-09-10,14:59:15.000,50.2779686,-3.8757379,7.92,1.19,51.0
2019-09-10,14:59:20.000,50.2780060,-3.8756604,7.62,1.19,52.8
2019-09-10,14:59:25.000,50.2780396,-3.8755786,7.01,1.07,64.8
2019-09-10,14:59:30.000,50.2780648,-3.8755011,7.01,1.11,62.2
2019-09-10,14:59:35.000,50.2780863,-3.8754216,6.40,1.12,59.8
2019-09-10,14:59:40.000,50.2781091,-3.8753472,6.40,1.24,54.6
2019-09-10,14:59:45.000,50.2781294,-3.8752755,6.40,1.12,65.6
2019-09-10,14:59:50.000,50.2781520,-3.8752006,6.40,1.08,60.0
2019-09-10,14:59:55.000,50.2781753,-3.8751166,6.40,1.20,64.6
2019-09-10,15:00:00.000,50.2781923,-3.8750271,7.31,1.26,75.2
2019-09-10,15:00:05.000,50.2782130,-3.8749379,7.92,1.30,61.0
2019-09-10,15:00:10.000,50.2782303,-3.8748635,8.22,1.04,76.4
2019-09-10,15:00:15.000,50.2782424,-3.8747784,8.53,1.03,55.0
2019-09-10,15:00:20.000,50.2782618,-3.8746958,8.83,0.92,65.4
2019-09-10,15:00:25.000,50.2782803,-3.8746100,8.83,1.17,67.2
2019-09-10,15:00:30.000,50.2782895,-3.8745302,9.14,1.05,103.0
2019-09-10,15:00:35.000,50.2782699,-3.8744631,9.14,1.91,134.2
2019-09-10,15:00:40.000,50.2782198,-3.8744396,9.14,1.49,180.8
2019-09-10,15:00:45.000,50.2781692,-3.8744392,9.14,1.71,189.4
2019-09-10,15:00:50.000,50.2781517,-3.8744802,8.53,0.48,314.0
2019-09-10,15:02:10.000,50.2781595,-3.8744764,8.83,0.49,25.2
2019-09-10,15:02:15.000,50.2782080,-3.8744661,8.22,0.80,349.8
2019-09-10,15:02:22.000,50.2782378,-3.8744549,7.31,0.47,130.2
2019-09-10,15:03:22.000,50.2782573,-3.8744906,7.01,0.94,322.4
2019-09-10,15:03:27.000,50.2782964,-3.8745427,7.31,0.74,311.8
2019-09-10,15:03:32.000,50.2783237,-3.8746261,7.31,1.02,298.0
2019-09-10,15:03:37.000,50.2783416,-3.8746809,7.31,0.54,297.8
2019-09-10,15:03:43.000,50.2783832,-3.8747085,7.01,0.92,315.4
2019-09-10,15:03:48.000,50.2784263,-3.8746945,7.01,0.88,14.0
2019-09-10,15:03:53.000,50.2784702,-3.8746824,7.31,0.78,323.0
2019-09-10,15:03:58.000,50.2785124,-3.8747111,7.92,0.95,327.2
2019-09-10,15:04:03.000,50.2785490,-3.8747505,8.53,0.87,325.0
2019-09-10,15:04:08.000,50.2786005,-3.8747958,9.14,1.23,333.0
2019-09-10,15:04:13.000,50.2786470,-3.8748369,9.44,1.23,326.8
2019-09-10,15:04:18.000,50.2786930,-3.8748755,9.75,0.82,339.4
2019-09-10,15:04:23.000,50.2787397,-3.8749142,10.05,1.01,323.0
2019-09-10,15:04:28.000,50.2787882,-3.8749495,11.27,1.18,339.4
2019-09-10,15:04:33.000,50.2788389,-3.8749798,11.88,1.03,333.4
2019-09-10,15:04:38.000,50.2788814,-3.8750021,12.19,0.98,336.2
2019-09-10,15:04:43.000,50.2789245,-3.8750211,12.49,1.19,328.6
2019-09-10,15:04:48.000,50.2789707,-3.8750469,13.10,0.94,339.2
2019-09-10,15:04:53.000,50.2790261,-3.8750699,13.41,1.44,338.8
2019-09-10,15:04:58.000,50.2790700,-3.8751052,14.02,1.54,316.2
2019-09-10,15:05:03.000,50.2791181,-3.8751295,13.71,1.26,329.4
2019-09-10,15:05:09.000,50.2791748,-3.8751435,13.71,0.92,339.6
2019-09-10,15:05:14.000,50.2792173,-3.8751565,13.10,0.83,320.2
2019-09-10,15:05:19.000,50.2792541,-3.8751939,13.41,0.91,319.2
2019-09-10,15:05:24.000,50.2792691,-3.8752425,13.41,0.70,294.4
2019-09-10,15:05:29.000,50.2792904,-3.8752944,13.10,0.76,296.8
2019-09-10,15:05:34.000,50.2793225,-3.8753067,12.49,0.79,331.2
2019-09-10,15:05:39.000,50.2793720,-3.8753173,11.88,0.84,348.6
2019-09-10,15:05:44.000,50.2794141,-3.8753150,10.97,0.53,8.4
2019-09-10,15:06:20.000,50.2793876,-3.8753867,11.27,1.31,241.0
2019-09-10,15:06:26.000,50.2793693,-3.8754709,11.27,1.03,252.0
2019-09-10,15:06:31.000,50.2793671,-3.8755585,10.66,1.22,289.8
2019-09-10,15:06:36.000,50.2793824,-3.8756195,9.75,0.99,297.0
2019-09-10,15:06:41.000,50.2793951,-3.8756892,8.83,1.27,293.2
2019-09-10,15:06:46.000,50.2794093,-3.8757563,7.92,0.98,285.0
2019-09-10,15:06:51.000,50.2794310,-3.8758278,7.31,1.13,311.8
2019-09-10,15:06:56.000,50.2794613,-3.8758936,6.70,1.02,306.6
2019-09-10,15:07:01.000,50.2794947,-3.8759558,6.40,0.89,311.6
2019-09-10,15:07:06.000,50.2795248,-3.8760214,6.09,0.98,307.8
2019-09-10,15:07:11.000,50.2795700,-3.8760925,5.79,1.18,312.6
2019-09-10,15:07:16.000,50.2796035,-3.8761471,5.79,1.01,323.6
2019-09-10,15:07:21.000,50.2796462,-3.8762012,5.48,1.15,325.8
2019-09-10,15:07:26.000,50.2796885,-3.8762473,5.18,1.20,328.6
2019-09-10,15:07:31.000,50.2797294,-3.8762961,4.87,1.22,319.0
2019-09-10,15:07:36.000,50.2797735,-3.8763489,4.57,1.11,319.0
2019-09-10,15:07:41.000,50.2798164,-3.8764087,4.87,1.24,324.2
2019-09-10,15:07:46.000,50.2798573,-3.8764619,5.18,1.25,321.8
2019-09-10,15:07:51.000,50.2798966,-3.8765188,5.18,1.35,319.2
2019-09-10,15:07:56.000,50.2799354,-3.8765747,5.18,1.15,316.6
2019-09-10,15:08:01.000,50.2799779,-3.8766205,4.57,1.23,333.0
2019-09-10,15:08:06.000,50.2800266,-3.8766609,3.65,1.28,335.6
2019-09-10,15:08:11.000,50.2800704,-3.8766960,2.74,1.22,323.6
2019-09-10,15:08:16.000,50.2801110,-3.8767337,2.13,1.30,319.4
2019-09-10,15:08:21.000,50.2801471,-3.8767859,1.82,0.99,313.8
2019-09-10,15:08:26.000,50.2801828,-3.8767841,1.21,0.83,5.2
2019-09-10,15:08:31.000,50.2802234,-3.8767894,0.30,0.90,342.4
2019-09-10,15:11:40.000,50.2801900,-3.8768051,2.13,0.93,182.0
2019-09-10,15:11:45.000,50.2801579,-3.8767797,3.35,1.02,139.4
2019-09-10,15:11:51.000,50.2801143,-3.8767220,4.57,1.15,153.0
2019-09-10,15:11:56.000,50.2800720,-3.8766827,5.18,1.19,160.6
2019-09-10,15:12:01.000,50.2800283,-3.8766437,5.79,1.30,150.2
2019-09-10,15:12:06.000,50.2799837,-3.8765985,6.40,0.98,131.8
2019-09-10,15:12:11.000,50.2799472,-3.8765417,6.40,1.03,131.2
2019-09-10,15:12:16.000,50.2799050,-3.8764890,6.70,1.19,139.6
2019-09-10,15:12:21.000,50.2798690,-3.8764294,7.31,0.86,141.8
2019-09-10,15:12:26.000,50.2798314,-3.8763730,7.62,0.71,123.0
2019-09-10,15:12:31.000,50.2797973,-3.8763198,8.22,1.00,136.8
2019-09-10,15:12:36.000,50.2797523,-3.8762599,8.53,1.16,152.2
2019-09-10,15:12:41.000,50.2796978,-3.8762103,8.83,1.37,152.2
2019-09-10,15:12:46.000,50.2796515,-3.8761624,9.44,1.12,142.6
2019-09-10,15:12:51.000,50.2796128,-3.8761085,9.75,1.24,132.8
2019-09-10,15:12:56.000,50.2795838,-3.8760423,9.75,1.26,124.8
2019-09-10,15:13:01.000,50.2795534,-3.8759719,10.36,1.13,122.4
2019-09-10,15:13:06.000,50.2795227,-3.8759036,10.66,1.02,127.0
2019-09-10,15:13:11.000,50.2794958,-3.8758403,10.97,0.90,119.6
2019-09-10,15:13:16.000,50.2794730,-3.8757803,11.27,0.92,122.8
2019-09-10,15:13:22.000,50.2794461,-3.8757121,11.27,0.96,98.2
2019-09-10,15:13:27.000,50.2794299,-3.8756378,11.88,0.99,115.6
2019-09-10,15:13:33.000,50.2794023,-3.8755557,12.19,0.83,126.0
2019-09-10,15:13:38.000,50.2793797,-3.8754770,12.49,1.15,109.8
2019-09-10,15:13:43.000,50.2793560,-3.8754068,13.10,1.09,113.6
2019-09-10,15:13:48.000,50.2793336,-3.8753377,13.10,1.08,119.0
2019-09-10,15:13:53.000,50.2793138,-3.8752661,13.41,0.96,115.6
2019-09-10,15:13:58.000,50.2793031,-3.8751946,14.32,1.15,111.0
2019-09-10,15:14:03.000,50.2792833,-3.8751247,15.24,1.07,114.2
2019-09-10,15:14:08.000,50.2792589,-3.8750464,15.84,1.21,116.2
2019-09-10,15:14:13.000,50.2792383,-3.8749669,16.45,1.33,113.4
2019-09-10,15:14:18.000,50.2792170,-3.8748904,16.45,1.23,109.8
