lat,lon
50.258969,-3.857351
50.258990,-3.857415
50.259017,-3.857344
50.259036,-3.857257
50.259019,-3.857176
50.259045,-3.857116
50.259099,-3.857107
50.259145,-3.857094
50.259193,-3.857064
50.259236,-3.857042
50.259286,-3.857018
50.259331,-3.856989
50.259358,-3.856922
50.259387,-3.856855
50.259378,-3.856925
50.259328,-3.856851
50.259296,-3.856915
50.259251,-3.857077
50.259333,-3.856896
50.259286,-3.856901
50.259255,-3.856964
50.259257,-3.856890
50.259283,-3.856828
50.259324,-3.856871
50.259372,-3.856854
50.259417,-3.856869
50.259463,-3.856873
50.259513,-3.856904
50.259562,-3.856930
50.259616,-3.856932
50.259666,-3.856930
50.259714,-3.856917
50.259762,-3.856899
50.259813,-3.856884
50.259870,-3.856870
50.259915,-3.856842
50.259959,-3.856804
50.260007,-3.856779
50.260059,-3.856749
50.260103,-3.856718
50.260151,-3.856686
50.260199,-3.856650
50.260236,-3.856605
50.260270,-3.856556
50.260312,-3.856517
50.260353,-3.856480
50.260401,-3.856442
50.260448,-3.856410
50.260491,-3.856381
50.260542,-3.856336
50.260585,-3.856308
50.260633,-3.856292
50.260679,-3.856264
50.260725,-3.856237
50.260765,-3.856295
50.260798,-3.856373
50.260828,-3.856438
50.260856,-3.856495
50.260882,-3.856553
50.260911,-3.856609
50.260940,-3.856676
50.260971,-3.856741
50.261001,-3.856814
50.261027,-3.856884
50.261057,-3.856945
50.261090,-3.857014
50.261131,-3.857062
50.261179,-3.857114
50.261222,-3.857170
50.261274,-3.857206
50.261314,-3.857256
50.261360,-3.857309
50.261399,-3.857367
50.261437,-3.857415
50.261471,-3.857477
50.261502,-3.857539
50.261539,-3.857597
50.261578,-3.857654
50.261619,-3.857717
50.261656,-3.857783
50.261694,-3.857854
50.261718,-3.857918
50.261739,-3.857985
50.261770,-3.858049
50.261817,-3.858066
50.261855,-3.858128
50.261908,-3.858155
50.261951,-3.858194
50.261990,-3.858251
50.262039,-3.858283
50.262078,-3.858322
50.262125,-3.858383
50.262166,-3.858432
50.262203,-3.858473
50.262243,-3.858514
50.262286,-3.858555
50.262325,-3.858609
50.262361,-3.858657
50.262398,-3.858705
50.262437,-3.858762
50.262471,-3.858822
50.262498,-3.858900
50.262526,-3.858963
50.262555,-3.859024
50.262590,-3.859075
50.262635,-3.859118
50.262680,-3.859172
50.262721,-3.859220
50.262760,-3.859282
50.262798,-3.859322
50.262839,-3.859354
50.262881,-3.859402
50.262917,-3.859454
50.262948,-3.859533
50.262977,-3.859592
50.263000,-3.859661
50.263034,-3.859744
50.263069,-3.859818
50.263098,-3.859881
50.263130,-3.859948
50.263159,-3.860011
50.263197,-3.860075
50.263230,-3.860125
50.263261,-3.860187
50.263290,-3.860247
50.263322,-3.860319
50.263356,-3.860389
50.263379,-3.860450
50.263416,-3.860512
50.263459,-3.860569
50.263493,-3.860628
50.263542,-3.860670
50.263586,-3.860705
50.263642,-3.860722
50.263690,-3.860741
50.263736,-3.860737
50.263791,-3.860730
50.263847,-3.860749
50.263890,-3.860721
50.263934,-3.860687
50.263985,-3.860653
50.264037,-3.860626
50.264087,-3.860594
50.264142,-3.860583
50.264180,-3.860628
50.264206,-3.860690
50.264242,-3.860743
50.264277,-3.860798
50.264310,-3.860846
50.264358,-3.860859
50.264402,-3.860905
50.264447,-3.860947
50.264481,-3.860994
50.264503,-3.861066
50.264513,-3.861139
50.264535,-3.861201
50.264561,-3.861271
50.264595,-3.861347
50.264625,-3.861414
50.264646,-3.861483
50.264665,-3.861566
50.264700,-3.861622
50.264746,-3.861668
50.264772,-3.861744
50.264797,-3.861806
50.264826,-3.861885
50.264840,-3.861969
50.264878,-3.862039
50.264890,-3.862122
50.264898,-3.862192
50.264901,-3.862271
50.264889,-3.862346
50.264867,-3.862413
50.264858,-3.862499
50.264842,-3.862565
50.264805,-3.862627
50.264781,-3.862687
50.264772,-3.862760
50.264755,-3.862840
50.264729,-3.862916
50.264722,-3.863005
50.264732,-3.863075
50.264746,-3.863169
50.264727,-3.863246
50.264710,-3.863331
50.264695,-3.863398
50.264689,-3.863491
50.264657,-3.863540
50.264635,-3.863622
50.264617,-3.863711
50.264607,-3.863783
50.264601,-3.863862
50.264612,-3.863943
50.264616,-3.864037
50.264622,-3.864124
50.264633,-3.864199
50.264652,-3.864280
50.264676,-3.864363
50.264683,-3.864436
50.264683,-3.864529
50.264665,-3.864597
50.264641,-3.864535
50.264604,-3.864486
50.264561,-3.864541
50.264530,-3.864594
50.264505,-3.864663
50.264484,-3.864739
50.264469,-3.864806
50.264451,-3.864872
50.264433,-3.864938
50.264419,-3.865013
50.264415,-3.865091
50.264405,-3.865181
50.264393,-3.865262
50.264387,-3.865344
50.264377,-3.865442
50.264362,-3.865529
50.264350,-3.865605
50.264355,-3.865691
50.264359,-3.865777
50.264367,-3.865847
50.264367,-3.865921
50.264373,-3.866007
50.264391,-3.866086
50.264397,-3.866168
50.264395,-3.866243
50.264394,-3.866335
50.264392,-3.866421
50.264390,-3.866499
50.264378,-3.866584
50.264356,-3.866654
50.264313,-3.866714
50.264280,-3.866768
50.264239,-3.866839
50.264204,-3.866915
50.264168,-3.866982
50.264138,-3.867056
50.264111,-3.867137
50.264108,-3.867216
50.264102,-3.867291
50.264085,-3.867376
50.264047,-3.867439
50.264011,-3.867510
50.263978,-3.867565
50.263957,-3.867635
50.263952,-3.867714
50.263943,-3.867787
50.263969,-3.867846
50.264019,-3.867865
50.264076,-3.867879
50.264127,-3.867900
50.264177,-3.867929
50.264220,-3.867955
50.264273,-3.867958
50.264325,-3.867950
50.264382,-3.867968
50.264425,-3.867996
50.264473,-3.868021
50.264527,-3.868048
50.264577,-3.868045
50.264618,-3.868001
50.264644,-3.867922
50.264668,-3.867842
50.264681,-3.867772
50.264710,-3.867692
50.264734,-3.867618
