lat,lon
50.3509961,-3.5774105
50.3509745,-3.5774141
50.3510061,-3.5774995
50.3510201,-3.5775262
50.3510412,-3.5775141
50.3509317,-3.5770625
50.3509333,-3.5771578
50.3510699,-3.5777903
50.3511010,-3.5779141
50.3512112,-3.5781567
50.3512224,-3.5782386
50.3511927,-3.5782229
50.3511572,-3.5781443
50.3511217,-3.5781054
50.3510936,-3.5780231
50.3510665,-3.5778061
50.3510417,-3.5777545
50.3510442,-3.5776445
50.3510345,-3.5776116
50.3510315,-3.5776239
50.3510377,-3.5775980
50.3510258,-3.5775782
50.3510271,-3.5775332
50.3509937,-3.5775263
50.3509812,-3.5775602
50.3510015,-3.5775377
50.3509790,-3.5775000
50.3508798,-3.5774847
50.3508256,-3.5774261
50.3506870,-3.5773354
50.3506704,-3.5773419
50.3506666,-3.5773746
50.3506025,-3.5774132
50.3505318,-3.5774115
50.3505400,-3.5774151
50.3505365,-3.5773962
50.3505240,-3.5774118
50.3504659,-3.5773926
50.3503448,-3.5773989
50.3502169,-3.5773615
50.3500965,-3.5774194
50.3500163,-3.5774290
50.3499717,-3.5774144
50.3499319,-3.5773760
50.3498540,-3.5773566
50.3497722,-3.5772825
50.3497351,-3.5772702
50.3495728,-3.5773437
50.3494341,-3.5772868
50.3494053,-3.5772930
50.3492966,-3.5773789
50.3491906,-3.5774290
50.3491347,-3.5774295
50.3491286,-3.5774528
50.3491096,-3.5774545
50.3490978,-3.5774761
50.3491158,-3.5774730
50.3490797,-3.5775783
50.3490322,-3.5776686
50.3490005,-3.5778743
50.3489556,-3.5779247
50.3489050,-3.5778902
50.3489076,-3.5778436
50.3488756,-3.5777554
50.3488360,-3.5775425
50.3488398,-3.5775007
50.3488762,-3.5774084
50.3488684,-3.5773413
50.3488790,-3.5772685
50.3489243,-3.5771695
50.3489151,-3.5770268
50.3488726,-3.5768426
50.3489215,-3.5766502
50.3488998,-3.5765942
50.3489131,-3.5764663
50.3488994,-3.5763000
50.3488512,-3.5761102
50.3486748,-3.5755454
50.3485044,-3.5747672
50.3484496,-3.5744052
50.3484198,-3.5736404
50.3483796,-3.5737492
50.3483884,-3.5738267
50.3484058,-3.5738628
50.3484199,-3.5738393
50.3484263,-3.5737369
50.3484088,-3.5736202
50.3484413,-3.5734250
50.3484403,-3.5733472
50.3484267,-3.5732938
50.3484344,-3.5731148
50.3485041,-3.5730784
50.3485069,-3.5729562
50.3486140,-3.5727900
50.3486104,-3.5728315
50.3485086,-3.5728764
50.3485099,-3.5730115
50.3484845,-3.5729495
50.3484528,-3.5730148
50.3484372,-3.5731028
50.3484384,-3.5733201
50.3484201,-3.5734563
50.3483916,-3.5735321
50.3483012,-3.5735375
50.3482157,-3.5735197
50.3480987,-3.5733681
50.3481148,-3.5733192
50.3481751,-3.5733249
50.3483792,-3.5732282
50.3486719,-3.5730378
50.3487293,-3.5730319
50.3487421,-3.5729371
50.3487169,-3.5729191
50.3486673,-3.5728312
50.3484101,-3.5726771
50.3482703,-3.5726376
50.3482085,-3.5725699
50.3481109,-3.5725329
50.3480832,-3.5724888
50.3481742,-3.5724467
50.3481439,-3.5725173
50.3482952,-3.5725276
50.3486042,-3.5726751
50.3490119,-3.5729352
50.3493230,-3.5731073
50.3495865,-3.5732341
50.3497323,-3.5732762
50.3501913,-3.5730298
50.3505660,-3.5730248
50.3508623,-3.5729309
50.3510993,-3.5728929
50.3512855,-3.5728851
50.3505715,-3.5729396
50.3501826,-3.5728934
50.3494269,-3.5728652
50.3491664,-3.5728027
50.3490117,-3.5727841
50.3488432,-3.5727332
50.3484706,-3.5724706
50.3482780,-3.5723159
50.3481956,-3.5722198
50.3481214,-3.5721658
50.3480216,-3.5722012
50.3478840,-3.5722861
50.3478300,-3.5722976
50.3478304,-3.5722269
50.3478175,-3.5722046
50.3479554,-3.5720939
50.3479883,-3.5720889
50.3479793,-3.5720577
50.3479103,-3.5720543
50.3478965,-3.5720225
50.3478940,-3.5719272
50.3478709,-3.5719047
50.3478441,-3.5719160
50.3477730,-3.5718208
50.3477210,-3.5717767
50.3477346,-3.5717270
50.3478015,-3.5716431
50.3478370,-3.5715611
50.3479253,-3.5714505
50.3478106,-3.5713376
50.3478076,-3.5711735
50.3477859,-3.5710450
50.3477976,-3.5709034
50.3477711,-3.5708014
50.3477240,-3.5707215
50.3477034,-3.5704978
50.3476618,-3.5704527
50.3476360,-3.5703731
50.3476237,-3.5702539
50.3476344,-3.5701392
50.3476169,-3.5700602
50.3476368,-3.5700983
50.3476806,-3.5701211
50.3477499,-3.5701236
50.3478279,-3.5703448
50.3479828,-3.5706724
50.3479967,-3.5708972
50.3479877,-3.5713233
50.3479144,-3.5711752
50.3477153,-3.5705979
50.3475444,-3.5699139
50.3475391,-3.5696757
50.3475448,-3.5698448
50.3475664,-3.5698182
50.3475616,-3.5697186
50.3475361,-3.5696089
50.3475119,-3.5695754
50.3475874,-3.5693885
50.3475409,-3.5693633
50.3475118,-3.5691775
50.3475079,-3.5690554
50.3474897,-3.5690066
50.3474464,-3.5689728
50.3474286,-3.5689199
50.3474086,-3.5687611
50.3474157,-3.5686728
50.3473927,-3.5685171
50.3473663,-3.5685144
50.3471650,-3.5686288
50.3472354,-3.5683371
50.3473736,-3.5681714
50.3473776,-3.5681534
50.3473566,-3.5681020
50.3473610,-3.5680263
50.3473442,-3.5678917
50.3473648,-3.5678279
50.3473601,-3.5677982
50.3473112,-3.5677740
50.3472871,-3.5678057
50.3472478,-3.5676375
50.3472039,-3.5675450
50.3471177,-3.5670522
50.3471117,-3.5668236
