date,time,lat,lon,ele,sog,cog
2018-09-12,10:23:16.000,50.5446514,-4.9259476,-3.04,0.00,0.0
2018-09-12,10:23:32.000,50.5445959,-4.9259638,-0.30,0.26,200.0
2018-09-12,10:23:37.000,50.5445577,-4.9260236,1.82,1.12,220.6
2018-09-12,10:23:42.000,50.5445098,-4.9261199,2.13,1.75,240.4
2018-09-12,10:23:47.000,50.5444848,-4.9262444,1.52,1.88,259.0
2018-09-12,10:23:52.000,50.5444599,-4.9263675,0.60,2.03,259.0
2018-09-12,10:23:57.000,50.5444275,-4.9265119,0.60,2.07,250.6
2018-09-12,10:24:02.000,50.5444097,-4.9266332,0.60,1.57,263.2
2018-09-12,10:24:07.000,50.5444196,-4.9267512,0.60,1.74,277.4
2018-09-12,10:24:12.000,50.5444222,-4.9268813,0.60,1.92,274.8
2018-09-12,10:24:17.000,50.5444446,-4.9270280,0.60,2.45,292.2
2018-09-12,10:24:22.000,50.5445011,-4.9272183,0.60,3.40,299.0
2018-09-12,10:24:27.000,50.5445896,-4.9274405,0.30,4.01,300.4
2018-09-12,10:24:32.000,50.5446972,-4.9276506,1.52,4.30,300.2
2018-09-12,10:24:37.000,50.5448017,-4.9279245,0.00,4.55,300.4
2018-09-12,10:24:42.000,50.5449098,-4.9282050,-0.91,4.61,302.8
2018-09-12,10:24:47.000,50.5450252,-4.9284930,-1.52,4.96,299.6
2018-09-12,10:24:52.000,50.5451436,-4.9288000,-2.43,5.03,301.4
2018-09-12,10:24:57.000,50.5452713,-4.9290907,-2.43,4.87,305.2
2018-09-12,10:25:02.000,50.5454022,-4.9293608,-2.74,4.81,306.2
2018-09-12,10:25:07.000,50.5455383,-4.9296341,-3.35,4.79,306.6
2018-09-12,10:25:12.000,50.5456712,-4.9298925,-3.35,4.72,306.0
2018-09-12,10:25:17.000,50.5457815,-4.9301783,-3.04,4.72,299.2
2018-09-12,10:25:22.000,50.5458709,-4.9304622,-3.04,4.43,295.4
2018-09-12,10:25:27.000,50.5459403,-4.9307321,-2.74,4.20,291.0
2018-09-12,10:25:32.000,50.5460087,-4.9309939,-3.04,4.18,290.4
2018-09-12,10:25:37.000,50.5460751,-4.9312554,-3.04,4.05,290.6
2018-09-12,10:25:42.000,50.5461375,-4.9315329,-3.35,4.43,287.4
2018-09-12,10:25:47.000,50.5461974,-4.9318253,-3.65,4.39,287.4
2018-09-12,10:25:52.000,50.5462470,-4.9321182,-3.04,4.30,284.0
2018-09-12,10:25:57.000,50.5462868,-4.9324270,-3.04,4.39,279.4
2018-09-12,10:26:02.000,50.5463101,-4.9327271,-3.04,4.15,273.4
2018-09-12,10:26:07.000,50.5462998,-4.9330060,-3.04,3.86,259.4
2018-09-12,10:26:12.000,50.5462340,-4.9332375,-3.35,3.30,238.6
2018-09-12,10:26:17.000,50.5461490,-4.9334265,-3.96,3.36,239.2
2018-09-12,10:26:22.000,50.5460545,-4.9335898,-3.96,2.80,223.0
2018-09-12,10:26:27.000,50.5459734,-4.9337193,-5.18,2.78,225.0
2018-09-12,10:26:32.000,50.5458767,-4.9338483,-5.48,3.02,216.4
2018-09-12,10:26:37.000,50.5457648,-4.9339602,-5.79,3.14,209.0
2018-09-12,10:26:42.000,50.5456439,-4.9340644,-6.09,3.08,206.8
2018-09-12,10:26:47.000,50.5455171,-4.9341513,-6.40,3.10,200.2
2018-09-12,10:26:52.000,50.5453890,-4.9342245,-6.40,3.02,197.6
2018-09-12,10:26:57.000,50.5452612,-4.9342919,-6.40,3.07,198.6
2018-09-12,10:27:02.000,50.5451299,-4.9343610,-5.79,3.03,198.4
2018-09-12,10:27:07.000,50.5450015,-4.9344303,-5.79,2.98,198.6
2018-09-12,10:27:12.000,50.5448736,-4.9344943,-6.09,3.09,196.2
2018-09-12,10:27:17.000,50.5447470,-4.9345553,-5.79,2.95,195.8
2018-09-12,10:27:22.000,50.5446193,-4.9346093,-6.09,2.90,194.6
2018-09-12,10:27:27.000,50.5444929,-4.9346599,-5.79,2.89,193.6
2018-09-12,10:27:32.000,50.5443656,-4.9347124,-5.79,2.92,193.0
2018-09-12,10:27:37.000,50.5442403,-4.9347752,-5.79,2.94,198.4
2018-09-12,10:27:42.000,50.5441184,-4.9348493,-5.79,2.91,201.4
2018-09-12,10:27:47.000,50.5439956,-4.9349262,-6.09,3.00,198.8
2018-09-12,10:27:52.000,50.5438736,-4.9349921,-6.09,2.98,196.6
2018-09-12,10:27:57.000,50.5437417,-4.9350488,-6.09,3.00,197.0
2018-09-12,10:28:02.000,50.5436116,-4.9351232,-6.09,3.09,200.4
2018-09-12,10:28:07.000,50.5434885,-4.9351960,-6.09,2.80,200.6
