date,time,lat,lon,ele,sog,cog
2010-06-30,10:06:24.000,50.1033105,-5.4201032,57.64,0.14,334.80
2010-06-30,10:06:47.000,50.1033157,-5.4201053,56.98,0.24,264.07
2010-06-30,10:06:52.000,50.1033231,-5.4201384,57.04,0.59,291.68
2010-06-30,10:06:57.000,50.1033510,-5.4201638,56.86,0.82,317.95
2010-06-30,10:07:02.000,50.1033767,-5.4202096,57.43,1.04,312.13
2010-06-30,10:07:07.000,50.1034092,-5.4202505,57.42,0.79,319.04
2010-06-30,10:07:12.000,50.1034398,-5.4202853,57.51,0.70,327.91
2010-06-30,10:07:17.000,50.1034732,-5.4203063,58.09,1.01,353.85
2010-06-30,10:07:22.000,50.1035036,-5.4203090,58.83,0.61,49.13
2010-06-30,10:07:27.000,50.1034964,-5.4202650,58.79,0.79,113.25
2010-06-30,10:07:32.000,50.1034752,-5.4202115,59.50,1.11,119.18
2010-06-30,10:07:37.000,50.1034530,-5.4201438,59.93,1.21,102.98
2010-06-30,10:07:42.000,50.1034402,-5.4200773,59.78,0.95,110.28
2010-06-30,10:07:47.000,50.1034197,-5.4200107,59.69,1.10,116.92
2010-06-30,10:07:52.000,50.1033959,-5.4199420,59.51,1.02,114.10
2010-06-30,10:07:57.000,50.1033715,-5.4198739,59.85,1.07,112.72
2010-06-30,10:08:02.000,50.1033472,-5.4198030,59.99,1.07,116.88
2010-06-30,10:08:07.000,50.1033238,-5.4197350,60.34,1.17,119.74
2010-06-30,10:08:12.000,50.1032995,-5.4196641,60.38,1.19,118.69
2010-06-30,10:08:17.000,50.1032791,-5.4195918,60.32,1.16,120.15
2010-06-30,10:08:22.000,50.1032579,-5.4195203,60.18,1.13,114.72
2010-06-30,10:08:27.000,50.1032386,-5.4194483,60.20,1.07,117.53
2010-06-30,10:08:32.000,50.1032273,-5.4193858,60.25,0.97,49.95
2010-06-30,10:08:37.000,50.1032279,-5.4193249,60.25,1.14,114.65
2010-06-30,10:08:42.000,50.1032056,-5.4192596,60.30,1.08,118.79
2010-06-30,10:08:47.000,50.1031763,-5.4192063,60.33,1.02,124.51
2010-06-30,10:08:52.000,50.1031603,-5.4191336,60.13,1.08,109.52
2010-06-30,10:08:57.000,50.1031392,-5.4190685,59.96,0.95,122.46
2010-06-30,10:09:02.000,50.1031209,-5.4189930,59.63,1.13,109.42
2010-06-30,10:09:07.000,50.1031003,-5.4189235,59.28,1.19,111.76
2010-06-30,10:09:12.000,50.1030785,-5.4188565,58.91,1.09,123.52
2010-06-30,10:09:17.000,50.1030564,-5.4187929,58.20,0.99,128.16
2010-06-30,10:09:22.000,50.1030295,-5.4187439,57.64,1.04,147.25
2010-06-30,10:09:27.000,50.1029918,-5.4187312,56.73,0.69,175.55
2010-06-30,10:09:32.000,50.1029538,-5.4187442,56.75,1.19,196.39
2010-06-30,10:09:37.000,50.1029055,-5.4187626,57.04,1.17,194.44
2010-06-30,10:09:42.000,50.1028601,-5.4187795,57.20,1.05,191.71
2010-06-30,10:09:47.000,50.1028163,-5.4188007,57.12,1.15,196.65
2010-06-30,10:09:52.000,50.1027721,-5.4188185,57.06,1.12,197.74
2010-06-30,10:09:57.000,50.1027270,-5.4188423,56.88,0.93,195.59
2010-06-30,10:10:02.000,50.1026800,-5.4188612,56.73,0.89,190.91
2010-06-30,10:10:07.000,50.1026327,-5.4188733,56.76,0.71,184.73
2010-06-30,10:10:12.000,50.1025869,-5.4188880,56.45,0.98,189.45
2010-06-30,10:10:17.000,50.1025365,-5.4189126,55.74,0.80,192.71
2010-06-30,10:10:22.000,50.1024905,-5.4189336,55.29,1.10,193.21
2010-06-30,10:10:27.000,50.1024445,-5.4189485,54.80,1.01,183.72
2010-06-30,10:10:32.000,50.1024019,-5.4189530,54.04,1.05,175.95
2010-06-30,10:10:37.000,50.1023590,-5.4189470,53.45,0.99,159.03
2010-06-30,10:10:42.000,50.1023238,-5.4189132,52.02,1.03,134.68
2010-06-30,10:10:47.000,50.1022965,-5.4188671,51.00,0.71,121.18
2010-06-30,10:10:56.000,50.1022857,-5.4188495,50.87,0.47,131.75
2010-06-30,10:11:01.000,50.1022614,-5.4188062,50.67,0.86,124.58
2010-06-30,10:11:06.000,50.1022343,-5.4187569,50.28,0.78,130.65
2010-06-30,10:11:11.000,50.1022093,-5.4187107,49.88,0.65,119.90
2010-06-30,10:11:16.000,50.1021943,-5.4186891,49.61,0.95,141.71
2010-06-30,10:11:21.000,50.1021684,-5.4186373,49.21,1.12,128.97
2010-06-30,10:11:26.000,50.1021432,-5.4185903,48.70,0.21,129.38
2010-06-30,10:11:31.000,50.1021501,-5.4185588,48.34,0.49,24.64
2010-06-30,10:11:43.000,50.1021301,-5.4185310,47.87,1.12,132.68
2010-06-30,10:11:48.000,50.1020994,-5.4184792,47.40,1.04,132.80
2010-06-30,10:11:53.000,50.1020677,-5.4184222,46.81,0.89,131.12
2010-06-30,10:11:58.000,50.1020380,-5.4183821,46.25,1.04,130.18
2010-06-30,10:12:03.000,50.1020092,-5.4183347,45.86,0.98,138.40
2010-06-30,10:12:08.000,50.1019871,-5.4182949,45.65,0.96,128.68
2010-06-30,10:12:13.000,50.1019598,-5.4182435,45.48,1.20,128.20
2010-06-30,10:12:18.000,50.1019328,-5.4181882,44.82,1.10,126.35
2010-06-30,10:12:23.000,50.1019052,-5.4181332,44.24,0.94,121.15
2010-06-30,10:12:28.000,50.1018843,-5.4180696,44.03,0.79,121.50
2010-06-30,10:12:40.000,50.1018761,-5.4180393,44.38,0.88,116.85
2010-06-30,10:12:45.000,50.1018661,-5.4179907,44.48,0.49,66.78
2010-06-30,10:12:51.000,50.1018582,-5.4179309,44.37,0.92,116.30
2010-06-30,10:12:56.000,50.1018361,-5.4178539,44.33,1.24,108.14
2010-06-30,10:13:01.000,50.1018156,-5.4177839,44.36,1.16,113.30
2010-06-30,10:13:06.000,50.1017939,-5.4177192,44.26,1.03,120.38
2010-06-30,10:13:11.000,50.1017733,-5.4176563,43.84,0.83,120.78
2010-06-30,10:13:16.000,50.1017503,-5.4175950,43.38,0.89,122.02
2010-06-30,10:13:21.000,50.1017206,-5.4175338,42.89,0.95,117.22
2010-06-30,10:13:26.000,50.1016946,-5.4174785,42.31,0.79,139.59
2010-06-30,10:13:31.000,50.1016648,-5.4174169,41.88,1.09,126.97
2010-06-30,10:13:36.000,50.1016344,-5.4173635,41.23,1.08,132.92
2010-06-30,10:13:41.000,50.1016058,-5.4173125,40.09,0.91,137.76
2010-06-30,10:13:46.000,50.1015759,-5.4172623,39.42,0.93,152.77
2010-06-30,10:13:51.000,50.1015409,-5.4172183,38.59,0.96,136.81
2010-06-30,10:13:56.000,50.1015079,-5.4171699,37.58,1.21,140.52
2010-06-30,10:14:01.000,50.1014785,-5.4171205,36.90,0.68,141.43
2010-06-30,10:14:06.000,50.1014508,-5.4170890,36.65,0.83,137.98
2010-06-30,10:14:11.000,50.1014176,-5.4170412,36.10,1.05,138.61
2010-06-30,10:14:16.000,50.1013799,-5.4169957,35.12,1.07,139.62
2010-06-30,10:14:21.000,50.1013452,-5.4169498,34.48,1.17,149.13
2010-06-30,10:14:26.000,50.1013127,-5.4169028,33.89,1.08,136.62
