date,time,lat,lon,ele,sog,cog
2018-07-10,14:53:11.600,50.2062780,-4.9484812,12.80,0.34,168.19
2018-07-10,14:53:16.600,50.2062464,-4.9484772,12.19,0.82,178.18
2018-07-10,14:53:21.600,50.2062223,-4.9484870,11.27,0.72,204.90
2018-07-10,14:53:26.600,50.2061875,-4.9484941,10.36,0.43,209.11
2018-07-10,14:53:36.600,50.2061805,-4.9484609,9.14,0.38,232.54
2018-07-10,14:53:51.200,50.2061964,-4.9484035,7.92,0.87,89.94
2018-07-10,14:53:56.200,50.2061798,-4.9483335,6.70,1.16,141.54
2018-07-10,14:54:01.200,50.2061819,-4.9482747,5.48,0.70,75.84
2018-07-10,14:54:16.200,50.2061940,-4.9482250,4.57,0.60,80.63
2018-07-10,14:54:21.200,50.2062013,-4.9481809,4.26,0.60,77.08
2018-07-10,14:54:26.200,50.2061956,-4.9481434,4.26,0.52,84.49
2018-07-10,14:54:31.200,50.2061903,-4.9480962,3.96,0.57,91.68
2018-07-10,14:54:36.200,50.2061729,-4.9480406,3.65,0.77,99.91
2018-07-10,14:54:41.200,50.2061551,-4.9479877,3.35,0.80,103.02
2018-07-10,14:54:46.200,50.2061400,-4.9479231,3.04,0.90,103.66
2018-07-10,14:54:51.200,50.2061200,-4.9478704,2.74,0.81,120.43
2018-07-10,14:54:56.200,50.2061093,-4.9478269,2.74,0.78,121.64
2018-07-10,14:55:01.200,50.2060948,-4.9477707,2.43,0.91,115.56
2018-07-10,14:55:06.200,50.2060743,-4.9476993,2.13,1.03,112.22
2018-07-10,14:55:11.200,50.2060592,-4.9476368,1.82,1.00,113.30
2018-07-10,14:55:16.200,50.2060468,-4.9475907,1.52,0.82,121.83
2018-07-10,14:55:21.200,50.2060466,-4.9475430,1.52,0.80,114.10
2018-07-10,14:55:26.200,50.2060278,-4.9474807,0.91,0.61,97.78
2018-07-10,14:55:31.200,50.2060264,-4.9474117,0.00,0.70,70.06
2018-07-10,14:55:36.200,50.2060271,-4.9473583,0.00,0.68,77.98
2018-07-10,14:55:41.200,50.2060188,-4.9473004,0.00,0.82,90.39
