date,time,lat,lon,ele,sog,cog
2009-10-03,11:01:34.000,50.2316899,-3.8392752,133.78,0.05,128.00
2009-10-03,11:01:48.000,50.2317363,-3.8392969,133.70,1.11,339.27
2009-10-03,11:01:53.000,50.2317756,-3.8393196,132.60,0.85,344.26
2009-10-03,11:01:58.000,50.2318229,-3.8393583,132.44,1.20,327.62
2009-10-03,11:02:03.000,50.2318655,-3.8394096,132.67,1.19,318.50
2009-10-03,11:02:08.000,50.2319202,-3.8394586,133.20,1.21,329.66
2009-10-03,11:02:13.000,50.2319650,-3.8395167,133.11,1.24,323.01
2009-10-03,11:02:18.000,50.2320087,-3.8395824,133.01,1.45,322.13
2009-10-03,11:02:23.000,50.2320547,-3.8396567,133.07,1.43,309.50
2009-10-03,11:02:28.000,50.2320946,-3.8397348,133.15,1.28,308.83
2009-10-03,11:02:33.000,50.2321265,-3.8398108,132.72,1.02,256.36
2009-10-03,11:02:38.000,50.2320970,-3.8398452,131.82,0.09,178.14
2009-10-03,11:02:45.000,50.2320347,-3.8398768,131.34,1.71,202.60
2009-10-03,11:02:50.000,50.2319674,-3.8399125,130.97,1.50,188.66
2009-10-03,11:02:55.000,50.2319012,-3.8399400,130.90,1.57,193.78
2009-10-03,11:03:00.000,50.2318332,-3.8399754,131.59,1.47,193.52
2009-10-03,11:03:05.000,50.2317701,-3.8400058,131.86,1.42,189.39
2009-10-03,11:03:10.000,50.2317055,-3.8400271,131.43,1.50,186.48
2009-10-03,11:03:15.000,50.2316447,-3.8400352,131.13,1.23,185.17
2009-10-03,11:03:20.000,50.2316090,-3.8400503,130.67,0.38,286.10
2009-10-03,11:03:25.000,50.2316244,-3.8401104,128.83,0.89,267.05
2009-10-03,11:03:30.000,50.2316534,-3.8401623,128.28,1.33,318.17
2009-10-03,11:03:35.000,50.2317032,-3.8402287,127.46,1.46,312.68
2009-10-03,11:03:40.000,50.2317369,-3.8403106,126.44,1.24,293.27
2009-10-03,11:03:45.000,50.2317609,-3.8403783,125.61,1.09,295.96
2009-10-03,11:03:50.000,50.2317882,-3.8404584,124.58,1.30,301.48
2009-10-03,11:03:55.000,50.2318142,-3.8405412,124.18,1.38,289.47
2009-10-03,11:04:00.000,50.2318376,-3.8406321,124.04,1.29,287.14
2009-10-03,11:04:05.000,50.2318594,-3.8407138,125.01,1.00,289.63
2009-10-03,11:04:10.000,50.2318784,-3.8407850,126.26,1.12,286.16
2009-10-03,11:04:15.000,50.2318962,-3.8408600,127.25,1.27,287.49
2009-10-03,11:04:20.000,50.2319070,-3.8409311,127.78,1.12,281.84
2009-10-03,11:04:25.000,50.2319133,-3.8410207,128.11,1.46,273.24
2009-10-03,11:04:30.000,50.2319227,-3.8411135,128.31,1.06,287.44
2009-10-03,11:04:35.000,50.2319319,-3.8411993,128.99,1.18,269.10
2009-10-03,11:04:40.000,50.2319309,-3.8412884,129.24,1.06,264.70
2009-10-03,11:04:45.000,50.2319293,-3.8413700,130.27,1.21,264.83
2009-10-03,11:04:50.000,50.2319266,-3.8414436,131.27,1.08,269.64
2009-10-03,11:04:55.000,50.2319270,-3.8415231,132.16,1.16,268.37
2009-10-03,11:05:00.000,50.2319162,-3.8416010,133.32,1.32,244.63
2009-10-03,11:05:05.000,50.2319107,-3.8416249,133.65,0.81,275.95
2009-10-03,11:05:10.000,50.2318941,-3.8416986,134.06,1.08,249.46
2009-10-03,11:05:15.000,50.2318720,-3.8417820,134.43,1.37,240.24
2009-10-03,11:05:20.000,50.2318520,-3.8418604,134.78,1.23,239.58
2009-10-03,11:05:25.000,50.2318077,-3.8419147,134.96,1.04,191.62
2009-10-03,11:05:30.000,50.2317574,-3.8419301,134.83,1.26,192.19
2009-10-03,11:05:35.000,50.2317123,-3.8419520,134.19,1.17,207.67
2009-10-03,11:05:40.000,50.2316595,-3.8419762,133.85,1.23,210.82
2009-10-03,11:05:45.000,50.2316346,-3.8420545,133.99,1.05,267.66
2009-10-03,11:06:17.000,50.2316391,-3.8421195,132.30,1.25,275.06
2009-10-03,11:06:22.000,50.2316481,-3.8422103,132.25,1.34,275.19
2009-10-03,11:06:27.000,50.2316451,-3.8423042,132.52,1.36,241.66
2009-10-03,11:06:32.000,50.2316109,-3.8423871,132.30,1.51,233.75
2009-10-03,11:06:37.000,50.2315728,-3.8424592,132.35,1.34,220.68
2009-10-03,11:06:42.000,50.2315347,-3.8425307,132.83,1.32,236.50
2009-10-03,11:06:47.000,50.2315552,-3.8425779,133.24,1.21,346.77
2009-10-03,11:06:52.000,50.2315780,-3.8426490,133.41,1.51,236.99
2009-10-03,11:06:57.000,50.2315193,-3.8426995,133.32,1.53,193.31
2009-10-03,11:07:02.000,50.2314554,-3.8427272,133.43,1.41,199.00
2009-10-03,11:07:07.000,50.2314022,-3.8427694,133.72,1.25,206.18
2009-10-03,11:07:12.000,50.2313484,-3.8427963,133.93,1.19,196.44
2009-10-03,11:07:17.000,50.2313022,-3.8428224,133.68,1.07,207.50
2009-10-03,11:07:22.000,50.2312720,-3.8428513,133.19,0.53,191.96
2009-10-03,11:07:28.000,50.2312685,-3.8428575,133.10,0.07,243.12
2009-10-03,11:07:46.000,50.2312829,-3.8428750,133.23,0.49,265.16
2009-10-03,11:07:52.000,50.2313011,-3.8428771,134.06,0.80,2.40
2009-10-03,11:07:57.000,50.2313500,-3.8428704,134.82,1.27,10.91
2009-10-03,11:08:02.000,50.2314116,-3.8428669,135.54,1.52,1.79
2009-10-03,11:08:07.000,50.2314642,-3.8429000,135.80,1.30,315.71
2009-10-03,11:08:12.000,50.2315081,-3.8429631,135.97,1.27,325.30
2009-10-03,11:08:17.000,50.2315568,-3.8430150,136.03,1.34,308.25
2009-10-03,11:08:22.000,50.2315839,-3.8431068,135.71,1.38,293.70
2009-10-03,11:08:27.000,50.2316015,-3.8432001,135.70,1.20,296.23
2009-10-03,11:08:32.000,50.2316305,-3.8432827,135.56,1.14,282.06
2009-10-03,11:08:37.000,50.2316470,-3.8433713,134.18,1.30,282.57
2009-10-03,11:08:42.000,50.2316628,-3.8434655,133.55,1.35,292.58
2009-10-03,11:08:47.000,50.2316838,-3.8435598,133.62,1.33,287.97
2009-10-03,11:08:52.000,50.2317094,-3.8436520,134.04,1.20,294.88
2009-10-03,11:08:57.000,50.2317416,-3.8437339,134.28,1.25,290.56
2009-10-03,11:09:02.000,50.2317684,-3.8438252,133.97,1.35,288.65
2009-10-03,11:09:07.000,50.2317772,-3.8439265,133.67,1.43,275.29
2009-10-03,11:09:12.000,50.2317930,-3.8440264,133.03,1.43,279.97
2009-10-03,11:09:17.000,50.2318081,-3.8441233,133.05,1.42,282.20
2009-10-03,11:09:22.000,50.2318213,-3.8442208,132.36,1.28,274.66
2009-10-03,11:09:27.000,50.2318368,-3.8443196,132.04,1.09,278.62
2009-10-03,11:09:32.000,50.2318472,-3.8444180,132.17,1.39,277.02
2009-10-03,11:09:37.000,50.2318570,-3.8445184,132.86,1.46,274.86
2009-10-03,11:09:42.000,50.2318636,-3.8446233,133.50,1.38,270.49
2009-10-03,11:09:47.000,50.2318674,-3.8447286,134.17,1.56,271.39
2009-10-03,11:09:52.000,50.2318702,-3.8448332,133.21,1.51,268.04
2009-10-03,11:09:57.000,50.2318713,-3.8449392,132.84,1.43,266.06
2009-10-03,11:10:02.000,50.2318630,-3.8450387,132.31,1.45,261.97
2009-10-03,11:10:07.000,50.2318489,-3.8451378,131.30,1.37,254.70
2009-10-03,11:10:12.000,50.2318335,-3.8452381,131.12,1.24,249.36
2009-10-03,11:10:17.000,50.2318187,-3.8453337,130.41,1.27,249.09
2009-10-03,11:10:22.000,50.2317962,-3.8454433,130.29,1.51,247.59
2009-10-03,11:10:27.000,50.2317826,-3.8455436,130.02,1.47,257.26
2009-10-03,11:10:32.000,50.2317829,-3.8456427,129.81,1.47,269.03
2009-10-03,11:10:37.000,50.2317913,-3.8457393,129.87,1.48,282.21
2009-10-03,11:10:42.000,50.2318065,-3.8458307,129.52,1.15,293.92
2009-10-03,11:10:47.000,50.2318254,-3.8459110,128.80,1.22,286.41
2009-10-03,11:10:52.000,50.2318480,-3.8459988,128.62,1.17,290.50
2009-10-03,11:10:57.000,50.2318742,-3.8460776,128.45,1.23,296.72
2009-10-03,11:11:02.000,50.2319062,-3.8461597,128.46,1.28,297.45
2009-10-03,11:11:07.000,50.2319377,-3.8462489,129.18,1.44,293.58
2009-10-03,11:11:12.000,50.2319480,-3.8463534,129.74,1.47,269.12
2009-10-03,11:11:17.000,50.2319518,-3.8464628,129.32,1.38,282.75
2009-10-03,11:11:22.000,50.2319731,-3.8465554,128.85,1.36,299.54
2009-10-03,11:11:27.000,50.2320099,-3.8466393,128.72,1.45,303.80
2009-10-03,11:11:32.000,50.2320450,-3.8467183,128.57,1.00,307.83
2009-10-03,11:11:37.000,50.2320510,-3.8467982,128.84,1.14,245.62
2009-10-03,11:11:42.000,50.2320306,-3.8468451,128.82,0.29,205.13
2009-10-03,11:12:06.000,50.2320665,-3.8468565,130.40,1.38,340.54
2009-10-03,11:12:11.000,50.2321271,-3.8468954,130.15,1.35,328.80
